pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,precio_unitario,descuento_pct,total,estado,metodo_pago,tiene_descuento
O0001,C042,P060,2024-03-13,10.0,256.12,20.0,2048.96,cancelado,tarjeta,True
O0002,C003,P024,2024-11-04,10.0,399.39,20.0,3195.12,completado,transferencia,True
O0003,C075,P037,2023-12-02,3.0,78.15,0.0,234.45,completado,efectivo,False
O0004,C025,P002,2024-06-14,7.0,208.14,0.0,1456.98,completado,efectivo,False
O0005,C027,P036,2024-11-16,6.0,232.53,20.0,1116.14,pendiente,transferencia,True
O0006,C079,P031,2023-04-09,4.0,386.73,15.0,1314.88,pendiente,tarjeta,True
O0007,C045,P036,2024-05-04,7.0,477.53,10.0,3008.44,completado,transferencia,True
O0008,C011,P023,2024-11-09,4.0,414.84,20.0,1327.49,cancelado,tarjeta,True
O0009,C014,P040,2023-04-02,4.0,54.6,15.0,185.64,pendiente,tarjeta,True
O0010,C001,P036,2023-07-21,8.0,379.18,10.0,2730.1,cancelado,tarjeta,True
O0011,C012,P042,2023-09-24,3.0,441.71,0.0,1325.13,enviado,tarjeta,False
O0013,C035,P013,2023-06-06,5.0,11.97,10.0,53.86,completado,efectivo,True
O0014,C023,P040,2024-07-17,2.0,336.28,5.0,638.93,completado,,True
O0015,C032,P001,2024-07-08,5.0,154.46,10.0,695.07,pendiente,efectivo,True
O0016,C008,P043,2023-08-10,7.0,346.69,10.0,2184.15,completado,efectivo,True
O0017,C029,P009,2024-03-15,7.0,379.89,5.0,2526.27,completado,efectivo,True
O0018,C068,P029,2024-02-19,1.0,288.49,5.0,274.07,pendiente,efectivo,True
O0019,C057,P008,2023-12-19,2.0,405.3,5.0,770.07,,webpay,True
O0021,C006,P028,2024-12-03,2.0,20.71,5.0,39.35,completado,webpay,True
O0022,C048,P058,2024-08-28,7.0,342.95,150.0,-1200.32,pendiente,efectivo,True
O0023,C023,P035,2024-09-05,1.0,489.35,20.0,391.48,enviado,efectivo,True
O0026,C070,P014,2023-03-17,4.0,290.85,5.0,1105.23,cancelado,tarjeta,True
O0027,C067,P015,2024-05-09,9.0,314.87,20.0,2267.06,completado,tarjeta,True
O0028,C045,P042,2024-09-11,7.0,153.44,20.0,859.26,completado,efectivo,True
