pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,precio_unitario,descuento_pct,total,estado,metodo_pago
O0001,C042,P060,2024-03-13,10,256.12,20,2048.96,cancelado,tarjeta
O0002,C003,P024,2024-11-04,10,399.39,20,3195.12,completado,transferencia
O0003,C075,P037,2023-12-02,3,78.15,0,234.45,completado,efectivo
O0004,C025,P002,2024-06-14,7,208.14,0,1456.98,COMPLETADO,efectivo
O0005,C027,P036,2024-11-16,6,232.53,20,1116.14,Pendiente,transferencia
O0006,C079,P031,2023-04-09,4,386.73,15,1314.88,Pendiente,tarjeta
O0007,C045,P036,2024-05-04,7,477.53,10,3008.44,completado,transferencia
O0008,C011,P023,2024-11-09,4,414.84,20,1327.49,cancelado,Tarjeta
O0009,C014,P040,2023-04-02,4,54.6,15,185.64,pendiente,Tarjeta
O0010,C001,P036,2023-07-21,8,379.18,10,2730.1,cancelado,tarjeta
O0011,C012,P042,2023-09-24,3,441.71,0,1325.13,enviado,tarjeta
O0012,C024,P060,mañana,2,145.86,5,277.13,,tarjeta
O0013,C035,P013,2023-06-06,5,11.97,10,53.87,completado,EFECTIVO
O0014,C023,P040,2024-07-17,2,336.28,5,638.93,completado,
O0015,C032,P001,2024-07-08,5,154.46,10,695.07,Pendiente,EFECTIVO
O0016,C008,P043,2023-08-10,7,346.69,10,2184.15,completado,EFECTIVO
O0017,C029,P009,2024-03-15,7,379.89,5,2526.27,completado,efectivo
O0018,C068,P029,2024-02-19,1,288.49,5,274.07,Pendiente,efectivo
O0019,C057,P008,2023-12-19,2,405.3,5,770.07,,webpay
O0020,C059,P037,2023-09-15,0,130.96,5,0.0,completado,efectivo
O0021,C006,P028,2024-12-03,2,20.71,5,39.35,COMPLETADO,webpay
O0022,C048,P058,2024-08-28,7,342.95,150,-1200.33,Pendiente,efectivo
O0023,C023,P035,2024-09-05,1,489.35,20,391.48,enviado,efectivo
O0024,C049,P053,2024-02-30,4,20.95,20,67.04,completado,EFECTIVO
O0025,C027,P005,2023-10-02,10,-10,15,,completado,EFECTIVO
O0026,C070,P014,2023-03-17,4,290.85,5,1105.23,cancelado,Tarjeta
O0027,C067,P015,2024-05-09,9,314.87,20,2267.06,completado,tarjeta
O0028,C045,P042,2024-09-11,7,153.44,20,859.26,completado,EFECTIVO
O0029,C029,P020,2023-08-02,7,197.27,5,1311.85,Pendiente,efectivo
O0030,C058,P055,2024-02-18,1,191.7,0,383.4,enviado,tarjeta
O0031,C072,P014,2024-04-28,5,109.84,0,549.2,completado,EFECTIVO
O0032,C078,P046,2023-07-08,5,235.79,10,1061.06,cancelado,
O0033,C066,P057,2024-08-04,6,188.5,0,1131.0,completado,EFECTIVO
O0034,C019,P002,2024-09-19,5,102.11,15,433.97,completado,EFECTIVO
O0035,C064,P036,2024-05-25,8,88.28,5,670.93,COMPLETADO,efectivo
O0036,C063,P012,2023-09-02,1,73.06,0,73.06,COMPLETADO,tarjeta
O0037,C028,P033,2024-06-02,8,8.27,0,66.16,completado,efectivo
O0038,C036,P035,2024-01-17,3,459.43,5,1309.38,enviado,tarjeta
O0039,C068,P017,2024-05-26,2,479.85,20,767.76,enviado,EFECTIVO
O0040,C039,P044,2023-11-28,0,192.74,0,0.0,completado,Tarjeta
O0041,C011,P032,2024-11-26,10,447.92,5,4255.24,enviado,tarjeta
O0042,C061,P018,2023-02-22,9,93.78,0,844.02,enviado,tarjeta
O0043,C019,P049,2024-02-10,10,285.51,20,2284.08,Pendiente,webpay
O0044,C018,P051,2023-09-24,1,221.36,10,199.22,completado,tarjeta
O0045,C077,P026,2024-01-21,8,117.93,15,801.92,COMPLETADO,tarjeta
O0046,C049,P006,2024-04-23,2,81.34,15,138.28,Pendiente,
O0047,C014,P006,2023-05-15,5,70.59,15,300.01,completado,efectivo
O0048,C072,P033,mañana,2,432.54,10,778.57,enviado,webpay
O0049,C011,P047,2023-10-17,7,73.73,10,464.5,completado,Tarjeta
O0050,C009,P011,2024-05-14,8,-10,15,,completado,tarjeta
O0051,C026,P030,2023-03-10,7,421.6,10,2656.08,completado,
O0052,C056,P053,2023-05-11,8,92.93,10,669.1,cancelado,tarjeta
O0053,C074,P051,2023-06-13,7,61.37,20,343.67,,Tarjeta
O0054,C071,P002,2024-12-07,5,410.39,15,1744.16,COMPLETADO,transferencia
O0055,C031,P017,2023-12-14,2,495.4,20,792.64,enviado,efectivo
O0056,C065,P060,2024-09-02,9,59.14,10,479.03,COMPLETADO,tarjeta
O0057,C006,P037,2024-06-26,2,53.81,20,86.1,,efectivo
O0058,C075,P045,2023-08-12,8,175.76,15,1195.17,pendiente,transferencia
O0059,C054,P059,2023-02-27,6,174.82,20,839.14,completado,
O0060,C061,P007,2024-12-23,5,406.04,0,4060.4,Pendiente,efectivo
O0061,C022,P060,2023-09-06,6,479.44,15,2445.14,COMPLETADO,Tarjeta
O0062,C056,P026,2023-12-20,8,197.47,5,1500.77,cancelado,efectivo
O0063,C074,P007,2023-06-11,8,134.86,20,863.1,Pendiente,tarjeta
O0064,C050,P040,2024-10-04,6,310.59,20,1490.83,completado,efectivo
O0065,C018,P021,2023-04-10,3,348.25,15,888.04,completado,Tarjeta
O0066,C074,P025,2024-03-16,9,247.37,5,2115.01,Pendiente,tarjeta
O0067,C080,P004,2024-01-16,4,482.1,15,1639.14,completado,webpay
O0068,C057,P032,2023-02-19,4,21.18,20,67.78,cancelado,Tarjeta
O0069,C059,P037,2024-09-17,10,137.61,20,1100.88,completado,tarjeta
O0070,C070,P014,2024-02-24,5,227.62,0,1138.1,completado,efectivo
O0071,C031,P014,2024-12-20,3,393.5,0,1180.5,completado,
O0072,C069,P018,mañana,5,72.12,0,360.6,cancelado,Tarjeta
O0073,C017,P016,2023-12-11,7,75.37,15,448.45,enviado,tarjeta
O0074,C010,P041,2023-07-17,6,475.38,20,2281.82,completado,efectivo
O0075,C059,P041,2024-02-26,4,,10,,Pendiente,transferencia
O0076,C044,P036,2023-10-28,6,27.74,0,166.44,pendiente,Tarjeta
O0077,C057,P030,2023-07-07,5,437.84,0,2189.2,Pendiente,transferencia
O0078,C011,P024,2023-01-13,4,329.47,0,1317.88,enviado,tarjeta
O0079,C010,P009,2023-09-22,1,349.32,15,296.92,COMPLETADO,tarjeta
O0080,C010,P015,2024-02-24,0,186.94,5,0.0,enviado,Tarjeta
O0081,C019,P005,2023-10-21,8,362.6,15,2465.68,completado,tarjeta
O0082,C028,P006,2023-03-25,10,179.01,10,1611.09,COMPLETADO,EFECTIVO
O0083,C036,P042,2023-04-18,1,106.7,15,90.69,cancelado,tarjeta
O0084,C031,P032,mañana,2,493.51,5,937.67,enviado,tarjeta
O0085,C054,P024,2023-08-25,1,11.83,0,11.83,completado,webpay
O0086,C065,P019,2024-07-23,2,142.35,0,284.7,,EFECTIVO
O0087,C020,P035,2024-07-19,5,366.33,0,1831.65,enviado,efectivo
O0088,C056,P008,2024-10-20,5,64.12,150,-160.3,completado,Tarjeta
O0089,C064,P023,2024-03-12,5,386.86,10,1740.87,enviado,transferencia
O0090,C068,P005,2024-12-19,8,257.84,15,3506.62,completado,Tarjeta
O0091,C048,P011,2024-02-19,4,26.8,5,101.84,completado,tarjeta
O0092,C047,P025,2023-03-28,9,116.14,15,888.47,Pendiente,transferencia
O0093,C010,P037,2024-02-17,3,403.15,15,1028.03,pendiente,tarjeta
O0094,C037,P050,2024-06-03,1,104.33,20,83.46,enviado,tarjeta
O0095,C048,P038,2024-04-24,3,466.54,5,1329.64,,
O0096,C002,P022,2024-02-30,2,267.26,15,454.34,completado,tarjeta
O0097,C019,P046,2024-02-02,9,351.92,15,2692.19,pendiente,tarjeta
O0098,C013,P033,2023-11-27,2,220.32,5,418.61,cancelado,transferencia
O0099,C041,P060,2024-12-27,6,139.62,5,795.83,COMPLETADO,tarjeta
O0100,C014,P010,2023-03-15,0,,5,,completado,transferencia
O0101,C060,P017,2023-02-06,10,111.44,5,1058.68,pendiente,EFECTIVO
O0102,C046,P026,2023-11-10,3,476.29,20,1143.1,,EFECTIVO
O0103,C013,P030,2023-03-04,1,69.7,10,62.73,pendiente,tarjeta
O0104,C076,P017,2023-01-03,8,50.53,0,404.24,completado,tarjeta
O0105,C007,P011,2024-12-13,1,343.19,10,308.87,enviado,Tarjeta
O0106,C036,P018,2024-03-02,5,208.94,0,1044.7,pendiente,transferencia
O0107,C050,P009,2024-04-21,9,494.75,15,3784.84,,tarjeta
O0108,C045,P059,2024-02-30,10,19.51,0,195.1,completado,efectivo
O0109,C046,P050,2023-03-04,4,269.18,5,1022.88,completado,webpay
O0110,C046,P060,2023-03-08,6,353.21,20,1695.41,completado,Tarjeta
O0111,C073,P013,2024-09-10,8,49.68,20,317.95,enviado,tarjeta
O0112,C068,P031,2023-06-20,3,359.88,0,1079.64,completado,Tarjeta
O0113,C076,P046,2023-02-28,2,353.75,20,566.0,pendiente,
O0114,C039,P021,2023-03-24,8,91.23,5,693.35,completado,Tarjeta
O0115,C049,P020,2024-03-06,10,426.12,5,4048.14,completado,
O0116,C079,P015,2023-08-05,2,176.67,5,335.67,pendiente,
O0117,C058,P001,2024-04-08,6,394.57,0,2367.42,enviado,tarjeta
O0118,C054,P011,2024-08-13,9,55.21,20,397.51,enviado,Tarjeta
O0119,C058,P005,2023-05-01,5,41.73,15,177.35,COMPLETADO,efectivo
O0120,C071,P058,2023-06-20,-2,86.67,5,-329.34,completado,efectivo
O0121,C043,P014,2023-07-23,5,122.59,15,521.01,completado,efectivo
O0122,C063,P010,2023-06-01,2,412.83,5,784.38,pendiente,tarjeta
O0123,C027,P011,2024-02-16,5,238.12,0,1190.6,,webpay
O0124,C024,P024,2024-06-06,1,222.67,5,211.54,cancelado,tarjeta
O0125,C008,P010,2023-02-22,9,485.5,5,4151.02,,tarjeta
O0126,C050,P053,2024-09-22,10,240.75,15,2046.38,completado,efectivo
O0127,C074,P058,2023-02-25,3,486.22,5,1385.73,completado,webpay
O0128,C011,P044,2024-04-27,10,163.28,0,1632.8,enviado,efectivo
O0129,C051,P036,2024-05-17,1,60.7,5,57.66,completado,tarjeta
O0130,C075,P049,2023-02-19,5,439.56,15,1868.13,completado,tarjeta
O0131,C078,P031,2023-03-09,3,24.2,5,68.97,completado,tarjeta
O0132,C035,P058,2024-02-30,5,429.83,-5,2256.61,enviado,Tarjeta
O0133,C039,P048,2024-06-09,10,98.03,15,833.25,completado,efectivo
O0134,C048,P053,2023-09-26,2,356.24,5,676.86,,tarjeta
O0135,C004,P012,2023-04-27,4,230.94,5,877.57,cancelado,
O0136,C060,P033,2024-11-04,4,246.95,5,938.41,completado,tarjeta
O0137,C071,P023,2024-03-27,2,18.59,5,35.32,completado,EFECTIVO
O0138,C029,P042,2023-11-07,7,432.99,15,2576.29,COMPLETADO,Tarjeta
O0139,C077,P052,2023-04-09,5,448.26,15,1905.11,cancelado,EFECTIVO
O0140,C060,P020,2024-10-04,-2,483.41,20,-773.46,completado,tarjeta
O0141,C037,P020,2023-08-03,5,431.44,10,1941.48,enviado,Tarjeta
O0142,C067,P049,2023-01-26,6,362.04,10,1955.02,cancelado,webpay
O0143,C052,P025,2023-10-23,6,344.73,10,1861.54,,transferencia
O0144,C022,P054,2024-02-30,9,473.73,0,4263.57,enviado,
O0145,C029,P048,2024-07-26,6,294.86,0,1769.16,completado,tarjeta
O0146,C075,P038,2023-08-07,7,209.49,5,1393.11,enviado,
O0147,C053,P037,2024-03-11,2,169.65,10,305.37,completado,tarjeta
O0148,C058,P018,2023-03-19,8,69.06,15,469.61,enviado,webpay
O0149,C062,P025,2023-01-18,6,446.54,0,2679.24,completado,EFECTIVO
O0150,C029,P045,2024-05-05,7,-10,10,,cancelado,tarjeta
O0151,C067,P039,2024-07-22,6,182.83,5,1042.13,enviado,tarjeta
O0152,C030,P015,2023-04-24,10,65.97,15,560.75,cancelado,efectivo
O0153,C080,P004,2023-11-04,1,211.3,0,211.3,,transferencia
O0154,C061,P045,2023-04-23,5,332.52,20,1330.08,completado,Tarjeta
O0155,C054,P054,2023-09-24,5,393.46,5,1868.93,completado,EFECTIVO
O0156,C034,P054,14-5-2024,1,455.63,10,410.07,enviado,tarjeta
O0157,C002,P043,2023-02-27,3,390.87,0,1172.61,cancelado,EFECTIVO
O0158,C059,P019,2024-08-02,3,426.86,10,1152.52,enviado,efectivo
O0159,C013,P055,2023-01-28,3,181.98,20,436.75,cancelado,efectivo
O0160,C048,P053,2024-03-04,0,139.56,15,0.0,enviado,Tarjeta
O0161,C015,P009,2023-03-04,10,402.12,5,3820.14,completado,webpay
O0162,C046,P040,2023-11-27,8,60.9,15,414.12,completado,efectivo
O0163,C034,P042,2024-01-23,6,219.26,15,1118.23,Pendiente,webpay
O0164,C020,P054,2023-01-21,9,426.68,0,3840.12,completado,
O0165,C031,P022,2024-01-17,9,204.62,0,1841.58,completado,tarjeta
O0166,C074,P029,2023-08-15,2,373.89,0,747.78,enviado,webpay
O0167,C005,P036,2023-02-26,9,329.03,10,2665.14,Pendiente,tarjeta
O0168,C029,P055,mañana,8,359.38,0,2875.04,enviado,tarjeta
O0169,C044,P023,2024-09-17,2,448.95,5,853.0,enviado,efectivo
O0170,C033,P040,2023-04-04,4,413.15,10,1487.34,pendiente,webpay
O0171,C006,P060,2023-08-15,8,267.53,20,1712.19,enviado,tarjeta
O0172,C062,P060,2023-12-19,3,196.77,20,472.25,enviado,webpay
O0173,C078,P059,2023-05-13,5,403.37,15,1714.32,completado,efectivo
O0174,C039,P054,2024-12-24,4,313.96,10,1130.26,COMPLETADO,Tarjeta
O0175,C065,P035,2024-12-04,9,293.49,15,2245.2,,transferencia
O0176,C055,P052,2023-09-04,7,31.27,5,207.95,cancelado,Tarjeta
O0177,C037,P044,2024-03-27,5,378.03,10,1701.13,completado,efectivo
O0178,C079,P056,2023-12-21,4,348.0,15,1183.2,enviado,webpay
O0179,C041,P036,2023-01-24,4,415.84,20,1330.69,,tarjeta
O0180,C026,P050,2023-05-15,3,368.86,15,1881.18,completado,webpay
O0181,C036,P036,2024-03-06,1,235.83,0,235.83,COMPLETADO,
O0182,C077,P004,2024-08-26,2,265.07,20,424.11,pendiente,efectivo
O0183,C021,P027,2024-02-12,4,168.88,5,641.74,completado,efectivo
O0184,C061,P036,2023-02-22,8,452.73,0,3621.84,Pendiente,webpay
O0185,C015,P025,2024-09-24,1,259.58,15,220.64,completado,transferencia
O0186,C025,P021,2023-02-06,2,336.82,15,572.59,pendiente,EFECTIVO
O0187,C069,P054,2024-11-27,3,232.32,0,696.96,pendiente,efectivo
O0188,C007,P012,2024-09-03,5,197.08,15,837.59,Pendiente,tarjeta
O0189,C050,P044,2023-09-01,10,351.94,10,3167.46,,efectivo
O0190,C038,P051,2024-10-03,8,200.58,15,1363.94,COMPLETADO,efectivo
O0191,C029,P009,2024-09-10,5,478.91,20,1915.64,,Tarjeta
O0192,C016,P003,mañana,2,108.98,5,207.06,enviado,efectivo
O0193,C019,P011,2023-04-20,4,94.77,20,303.26,completado,efectivo
O0194,C010,P019,2023-05-04,10,476.01,5,4522.1,enviado,efectivo
